dealer	player	hit	stay	double	hit	stay	double
1	2A	0.285	0.115	0.199	[285, 133, 582]	[115, 0, 885]	[199, 64, 737]
1	3A	0.251	0.113	0.211	[251, 121, 628]	[113, 0, 887]	[211, 60, 729]
1	4	0.234	0.112	0.115	[234, 93, 673]	[112, 0, 888]	[115, 0, 885]
1	4A	0.265	0.102	0.203	[265, 136, 599]	[102, 0, 898]	[203, 85, 712]
1	5	0.222	0.114	0.123	[222, 100, 678]	[114, 0, 886]	[123, 0, 877]
1	5A	0.224	0.14	0.186	[224, 124, 652]	[140, 0, 860]	[186, 79, 735]
1	6	0.203	0.125	0.112	[407, 199, 1394]	[250, 0, 1750]	[223, 19, 1758]
1	6A	0.233	0.111	0.215	[233, 125, 642]	[111, 0, 889]	[215, 64, 721]
1	7	0.2	0.11	0.116	[400, 216, 1384]	[219, 0, 1781]	[232, 98, 1670]
1	7A	0.235	0.099	0.215	[235, 122, 643]	[99, 141, 760]	[215, 111, 674]
1	8	0.226	0.114	0.165	[679, 319, 2002]	[343, 0, 2657]	[495, 183, 2322]
1	8A	0.285	0.271	0.257	[285, 137, 578]	[271, 133, 596]	[257, 91, 652]
1	9	0.277	0.118	0.254	[831, 383, 1786]	[353, 0, 2647]	[761, 207, 2032]
1	9A	0.308	0.345	0.29	[308, 122, 570]	[345, 135, 520]	[290, 97, 613]
1	10	0.323	0.114	0.302	[1292, 504, 2204]	[454, 0, 3546]	[1209, 384, 2407]
1	10A	0.323	0.501	0.307	[323, 121, 556]	[501, 131, 368]	[307, 110, 583]
1	11	0.343	0.117	0.344	[1371, 734, 1895]	[468, 0, 3532]	[1376, 592, 2032]
1	11A	0.355	0.63	0.354	[1420, 756, 1824]	[2520, 1480, 0]	[1416, 584, 2000]
1	12	0.197	0.099	0.176	[1574, 717, 5709]	[794, 0, 7206]	[1405, 544, 6051]
1	12A	0.298	0.116	0.218	[298, 140, 562]	[116, 0, 884]	[218, 63, 719]
1	13	0.191	0.118	0.173	[1335, 603, 5062]	[826, 0, 6174]	[1213, 467, 5320]
1	13A	0.279	0.099	0.197	[279, 152, 569]	[99, 0, 901]	[197, 75, 728]
1	14	0.171	0.117	0.168	[1194, 556, 5250]	[818, 0, 6182]	[1179, 451, 5370]
1	14A	0.271	0.128	0.212	[271, 125, 604]	[128, 0, 872]	[212, 66, 722]
1	15	0.148	0.123	0.151	[890, 431, 4679]	[740, 0, 5260]	[905, 438, 4657]
1	15A	0.265	0.144	0.226	[265, 122, 613]	[144, 0, 856]	[226, 54, 720]
1	16	0.159	0.127	0.144	[954, 384, 4662]	[763, 0, 5237]	[862, 432, 4706]
1	16A	0.256	0.119	0.191	[256, 134, 610]	[119, 0, 881]	[191, 52, 757]
1	17	0.122	0.116	0.157	[608, 276, 4116]	[580, 590, 3830]	[786, 268, 3946]
1	17A	0.242	0.112	0.204	[242, 120, 638]	[112, 135, 753]	[204, 103, 693]
1	18	0.133	0.255	0.109	[666, 197, 4137]	[1274, 587, 3139]	[543, 231, 4226]
1	18A	0.273	0.252	0.247	[273, 135, 592]	[252, 121, 627]	[247, 87, 666]
1	19	0.075	0.37	0.098	[300, 144, 3556]	[1480, 520, 2000]	[392, 140, 3468]
1	19A	0.312	0.368	0.302	[312, 130, 558]	[368, 117, 515]	[302, 99, 599]
1	20	0.041	0.531	0.05	[164, 104, 3732]	[2124, 544, 1332]	[200, 124, 3676]
1	20A	0.305	0.482	0.313	[305, 116, 579]	[482, 125, 393]	[313, 111, 576]
2	2A	0.468	0.351	0.476	[468, 94, 438]	[351, 0, 649]	[476, 49, 475]
2	3A	0.448	0.356	0.451	[448, 95, 457]	[356, 0, 644]	[451, 56, 493]
2	4	0.359	0.363	0.351	[359, 78, 563]	[363, 0, 637]	[351, 0, 649]
2	4A	0.43	0.347	0.433	[430, 101, 469]	[347, 0, 653]	[433, 42, 525]
2	5	0.345	0.335	0.374	[345, 60, 595]	[335, 0, 665]	[374, 0, 626]
2	5A	0.419	0.347	0.486	[419, 78, 503]	[347, 0, 653]	[486, 50, 464]
2	6	0.346	0.366	0.348	[693, 156, 1151]	[732, 0, 1268]	[696, 16, 1288]
2	6A	0.43	0.351	0.472	[430, 85, 485]	[351, 0, 649]	[472, 38, 490]
2	7	0.385	0.333	0.362	[769, 194, 1037]	[666, 0, 1334]	[724, 96, 1180]
2	7A	0.43	0.367	0.449	[430, 96, 474]	[367, 129, 504]	[449, 73, 478]
2	8	0.416	0.353	0.414	[1248, 315, 1437]	[1059, 0, 1941]	[1243, 207, 1550]
2	8A	0.44	0.514	0.503	[440, 112, 448]	[514, 141, 345]	[503, 82, 415]
