dealer	player	hit	stay	double	hit	stay	double
1	2A	0.271	0.118	0.241	[271, 139, 590]	[118, 0, 882]	[241, 73, 686]
1	3A	0.261	0.113	0.202	[261, 138, 601]	[113, 0, 887]	[202, 61, 737]
1	4	0.231	0.115	0.113	[231, 100, 669]	[115, 0, 885]	[113, 0, 887]
1	4A	0.28	0.124	0.231	[280, 127, 593]	[124, 0, 876]	[231, 64, 705]
1	5	0.211	0.124	0.124	[211, 93, 696]	[124, 0, 876]	[124, 0, 876]
1	5A	0.268	0.12	0.206	[268, 102, 630]	[120, 0, 880]	[206, 65, 729]
1	6	0.2	0.113	0.107	[399, 204, 1397]	[226, 0, 1774]	[215, 22, 1763]
1	6A	0.248	0.113	0.195	[248, 118, 634]	[113, 0, 887]	[195, 82, 723]
1	7	0.182	0.104	0.128	[364, 234, 1402]	[208, 0, 1792]	[256, 102, 1642]
1	7A	0.232	0.103	0.207	[232, 117, 651]	[103, 130, 767]	[207, 93, 700]
1	8	0.244	0.12	0.18	[733, 343, 1924]	[360, 0, 2640]	[541, 194, 2265]
1	8A	0.258	0.252	0.232	[258, 145, 597]	[252, 135, 613]	[232, 100, 668]
1	9	0.276	0.123	0.245	[827, 355, 1818]	[370, 0, 2630]	[734, 219, 2047]
1	9A	0.328	0.374	0.266	[328, 142, 530]	[374, 135, 491]	[266, 102, 632]
1	10	0.323	0.124	0.305	[1292, 546, 2162]	[495, 0, 3505]	[1219, 393, 2388]
1	10A	0.321	0.501	0.303	[321, 137, 542]	[501, 145, 354]	[303, 113, 584]
1	11	0.344	0.11	0.332	[1374, 777, 1849]	[441, 0, 3559]	[1326, 631, 2043]
1	11A	0.371	0.625	0.345	[1484, 692, 1824]	[2500, 1500, 0]	[1380, 536, 2084]
1	12	0.208	0.111	0.178	[1667, 714, 5619]	[886, 0, 7114]	[1424, 578, 5998]
1	12A	0.313	0.112	0.232	[313, 131, 556]	[112, 0, 888]	[232, 54, 714]
1	13	0.182	0.116	0.187	[1274, 516, 5210]	[811, 0, 6189]	[1312, 447, 5241]
1	13A	0.263	0.111	0.224	[263, 116, 621]	[111, 0, 889]	[224, 62, 714]
1	14	0.172	0.114	0.168	[1201, 551, 5248]	[796, 0, 6204]	[1173, 447, 5380]
1	14A	0.266	0.117	0.19	[266, 122, 612]	[117, 0, 883]	[190, 50, 760]
1	15	0.158	0.117	0.159	[948, 446, 4606]	[703, 0, 5297]	[956, 354, 4690]
1	15A	0.26	0.123	0.201	[260, 132, 608]	[123, 0, 877]	[201, 64, 735]
1	16	0.146	0.119	0.161	[877, 391, 4732]	[713, 0, 5287]	[967, 435, 4598]
1	16A	0.228	0.12	0.217	[228, 95, 677]	[120, 0, 880]	[217, 73, 710]
1	17	0.146	0.108	0.122	[730, 251, 4019]	[540, 680, 3780]	[610, 221, 4169]
1	17A	0.246	0.118	0.238	[246, 130, 624]	[118, 142, 740]	[238, 115, 647]
1	18	0.116	0.262	0.103	[582, 224, 4194]	[1308, 619, 3073]	[514, 253, 4233]
1	18A	0.3	0.237	0.249	[300, 114, 586]	[237, 127, 636]	[249, 95, 656]
1	19	0.098	0.354	0.084	[392, 140, 3468]	[1416, 544, 2040]	[336, 124, 3540]
1	19A	0.296	0.399	0.247	[296, 115, 589]	[399, 126, 475]	[247, 94, 659]
1	20	0.044	0.504	0.058	[176, 132, 3692]	[2016, 508, 1476]	[232, 96, 3672]
1	20A	0.339	0.523	0.298	[339, 116, 545]	[523, 125, 352]	[298, 110, 592]
2	2A	0.456	0.334	0.455	[456, 98, 446]	[334, 0, 666]	[455, 45, 500]
2	3A	0.446	0.345	0.469	[446, 93, 461]	[345, 0, 655]	[469, 53, 478]
2	4	0.378	0.379	0.355	[378, 65, 557]	[379, 0, 621]	[355, 0, 645]
